계정과목,2024년,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,,
기초현금,140853827.9,,,,,,,,,,,,,,
MLB,4620292549,495841665,430358485,585933805,447057665,323904675,248429780,295905695,465318737,271461915,526110776,529120843,393922462,,
KIDS,235714666.6,15909434,20537910,19452060,18105751,13416512,5070744,2188241,4731956,5194795,24291326,21796266,9704543,,
Discovery,3409441.77,1734291,1080239,2995169,3003034,1148116,2281672,617629,1513806,2998449,8630514,9521209,5203243,,
Duvetica,19892478.71,2559187,1161513,1474358,749343,486325,402903,107210,232400,118119,466952,688994,785381,,
Supra,14288800.49,1478293,703311,254300,162176,139064,93952,95957,29027,115061,346630,422678,174794,,
대리상선금,8027651.51,0,0,0,5729140,0,0,0,0,0,0,0,0,,
대리상보증금,400000,200000,4985920,0,700000,0,0,0,0,0,0,0,0,,
정부보조금,36944592.25,74047,191874,52812,242685,0,0,51071,0,31000000,0,124500,0,,
기타수익,2948849.61,181500,0,619849,69695,43125,423074,23472,76556,51547,211250,105264,218637,,
본사,-2575798652,-329820518,-223952728,-78661194,-92459420,-125483774,-203989690,-299536551,-478138439,-366654742,-386440948,-90254773,-315831666,,
위탁생산,-374099786,-23785240,-73693277,-15469343,-33145394,-12504154,-13041618,-13724595,-49237266,-50966413,-47119326,-25941621,-11362302,,
본사선급금,-770000000,0,0,0,-350000000,0,0,0,0,0,0,-350000000,0,,
운영비,-1467838870,-180618008,-123573034,-175661086,-102764635,-109264422,-101544047,-100043707,-166740856,-109714047,-207038872,-131277730,-99429654,,
차입금입금,1270000000,50000000,220000000,0,150000000,0,120000000,210000000,210000000,506000000,250000000,144000000,455685078,,
차입금상환,-940000000,-40000000,-270000000,-180000000,-200000000,-80000000,-100000000,-50000000,0,-230000000,-230000000,-100000000,-426000000,,
자산성지출,-50190438.19,-10774511,-5371993,-1896674,-5585116,-1233784,-2829578,-5907748,-4647465,-2552109,-3169473,-4488981,-761664,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
